Date,StoreID,ProductID,QuantitySold,SalesPrice,HasPromotion
2025-09-22,S001,SKU_BER01,14,2.56,0
2025-09-22,S001,SKU_BER02,12,2.39,0
2025-09-22,S001,SKU_BER03,6,2.36,0
2025-09-22,S001,SKU_BER04,3,2.43,0
2025-09-22,S001,SKU_LEA01,19,1.88,0
2025-09-22,S001,SKU_LEA02,8,1.71,0
2025-09-22,S001,SKU_LEA03,18,1.71,0
2025-09-22,S001,SKU_LEA04,17,1.88,0
2025-09-22,S001,SKU_BAN01,19,1.17,0
2025-09-22,S001,SKU_BAN02,22,1.23,0
2025-09-22,S001,SKU_BAN03,19,1.22,0
2025-09-22,S001,SKU_BAN04,23,1.06,0
2025-09-22,S001,SKU_CIT01,12,2.1,0
2025-09-22,S001,SKU_CIT02,16,2.01,0
2025-09-22,S001,SKU_CIT03,6,1.96,0
2025-09-22,S001,SKU_CIT04,10,2.03,0
2025-09-22,S001,SKU_TOM01,18,2.14,0
2025-09-22,S001,SKU_TOM02,14,2.05,0
2025-09-22,S001,SKU_TOM03,17,2.28,0
2025-09-22,S001,SKU_TOM04,15,2.14,0
2025-09-22,S001,SKU_ROO01,18,1.41,0
2025-09-22,S001,SKU_ROO02,18,1.57,0
2025-09-22,S001,SKU_ROO03,25,1.53,0
2025-09-22,S001,SKU_ROO04,19,1.46,0
2025-09-22,S002,SKU_BER01,10,2.56,0
2025-09-22,S002,SKU_BER02,7,2.39,0
2025-09-22,S002,SKU_BER03,13,2.36,0
2025-09-22,S002,SKU_BER04,13,2.43,0
2025-09-22,S002,SKU_LEA01,17,1.88,0
2025-09-22,S002,SKU_LEA02,6,1.71,0
2025-09-22,S002,SKU_LEA03,10,1.71,0
2025-09-22,S002,SKU_LEA04,9,1.88,0
2025-09-22,S002,SKU_BAN01,19,1.17,0
2025-09-22,S002,SKU_BAN02,24,1.23,0
2025-09-22,S002,SKU_BAN03,19,1.22,0
2025-09-22,S002,SKU_BAN04,21,1.06,0
2025-09-22,S002,SKU_CIT01,10,2.1,0
2025-09-22,S002,SKU_CIT02,7,2.01,0
2025-09-22,S002,SKU_CIT03,8,1.96,0
2025-09-22,S002,SKU_CIT04,7,2.03,0
2025-09-22,S002,SKU_TOM01,13,2.14,0
2025-09-22,S002,SKU_TOM02,25,2.05,0
2025-09-22,S002,SKU_TOM03,12,2.28,0
2025-09-22,S002,SKU_TOM04,16,2.14,0
2025-09-22,S002,SKU_ROO01,13,1.41,0
2025-09-22,S002,SKU_ROO02,21,1.57,0
2025-09-22,S002,SKU_ROO03,17,1.53,0
2025-09-22,S002,SKU_ROO04,17,1.46,0
2025-09-22,S003,SKU_BER01,15,2.56,0
2025-09-22,S003,SKU_BER02,5,2.39,0
2025-09-22,S003,SKU_BER03,14,2.36,0
2025-09-22,S003,SKU_BER04,8,2.43,0
2025-09-22,S003,SKU_LEA01,15,1.88,0
2025-09-22,S003,SKU_LEA02,12,1.71,0
2025-09-22,S003,SKU_LEA03,19,1.71,0
2025-09-22,S003,SKU_LEA04,15,1.88,0
2025-09-22,S003,SKU_BAN01,23,1.17,0
2025-09-22,S003,SKU_BAN02,26,1.23,0
2025-09-22,S003,SKU_BAN03,21,1.22,0
2025-09-22,S003,SKU_BAN04,24,1.06,0
2025-09-22,S003,SKU_CIT01,12,2.1,0
2025-09-22,S003,SKU_CIT02,13,2.01,0
2025-09-22,S003,SKU_CIT03,2,1.96,0
2025-09-22,S003,SKU_CIT04,4,2.03,0
2025-09-22,S003,SKU_TOM01,14,2.14,0
2025-09-22,S003,SKU_TOM02,15,2.05,0
2025-09-22,S003,SKU_TOM03,19,2.28,0
2025-09-22,S003,SKU_TOM04,13,2.14,0
2025-09-22,S003,SKU_ROO01,16,1.41,0
2025-09-22,S003,SKU_ROO02,11,1.57,0
2025-09-22,S003,SKU_ROO03,21,1.53,0
2025-09-22,S003,SKU_ROO04,8,1.46,0
2025-09-22,S004,SKU_BER01,13,2.56,0
2025-09-22,S004,SKU_BER02,11,2.39,0
2025-09-22,S004,SKU_BER03,16,2.36,0
2025-09-22,S004,SKU_BER04,7,2.43,0
2025-09-22,S004,SKU_LEA01,6,1.88,0
2025-09-22,S004,SKU_LEA02,12,1.71,0
2025-09-22,S004,SKU_LEA03,7,1.71,0
2025-09-22,S004,SKU_LEA04,15,1.88,0
2025-09-22,S004,SKU_BAN01,21,1.17,0
2025-09-22,S004,SKU_BAN02,17,1.23,0
2025-09-22,S004,SKU_BAN03,21,1.22,0
2025-09-22,S004,SKU_BAN04,22,1.06,0
2025-09-22,S004,SKU_CIT01,8,2.1,0
2025-09-22,S004,SKU_CIT02,9,2.01,0
2025-09-22,S004,SKU_CIT03,9,1.96,0
2025-09-22,S004,SKU_CIT04,4,2.03,0
2025-09-22,S004,SKU_TOM01,17,2.14,0
2025-09-22,S004,SKU_TOM02,14,2.05,0
2025-09-22,S004,SKU_TOM03,21,2.28,0
2025-09-22,S004,SKU_TOM04,13,2.14,0
2025-09-22,S004,SKU_ROO01,5,1.41,0
2025-09-22,S004,SKU_ROO02,16,1.57,0
2025-09-22,S004,SKU_ROO03,16,1.53,0
2025-09-22,S004,SKU_ROO04,15,1.46,0
2025-09-22,S005,SKU_BER01,11,2.56,0
2025-09-22,S005,SKU_BER02,17,2.39,0
2025-09-22,S005,SKU_BER03,13,2.36,0
2025-09-22,S005,SKU_BER04,7,2.43,0
2025-09-22,S005,SKU_LEA01,15,1.88,0
2025-09-22,S005,SKU_LEA02,16,1.71,0
2025-09-22,S005,SKU_LEA03,10,1.71,0
2025-09-22,S005,SKU_LEA04,14,1.88,0
2025-09-22,S005,SKU_BAN01,19,1.17,0
2025-09-22,S005,SKU_BAN02,8,1.23,0
2025-09-22,S005,SKU_BAN03,20,1.22,0
2025-09-22,S005,SKU_BAN04,25,1.06,0
2025-09-22,S005,SKU_CIT01,10,2.1,0
2025-09-22,S005,SKU_CIT02,5,2.01,0
2025-09-22,S005,SKU_CIT03,8,1.96,0
2025-09-22,S005,SKU_CIT04,7,2.03,0
2025-09-22,S005,SKU_TOM01,11,2.14,0
2025-09-22,S005,SKU_TOM02,17,2.05,0
2025-09-22,S005,SKU_TOM03,21,2.28,0
2025-09-22,S005,SKU_TOM04,18,2.14,0
2025-09-22,S005,SKU_ROO01,15,1.41,0
2025-09-22,S005,SKU_ROO02,15,1.57,0
2025-09-22,S005,SKU_ROO03,20,1.53,0
2025-09-22,S005,SKU_ROO04,11,1.46,0
2025-09-22,S006,SKU_BER01,13,2.56,0
2025-09-22,S006,SKU_BER02,13,2.39,0
2025-09-22,S006,SKU_BER03,10,2.36,0
2025-09-22,S006,SKU_BER04,15,2.43,0
2025-09-22,S006,SKU_LEA01,10,1.88,0
2025-09-22,S006,SKU_LEA02,12,1.71,0
2025-09-22,S006,SKU_LEA03,16,1.71,0
2025-09-22,S006,SKU_LEA04,15,1.88,0
2025-09-22,S006,SKU_BAN01,15,1.17,0
2025-09-22,S006,SKU_BAN02,14,1.23,0
2025-09-22,S006,SKU_BAN03,19,1.22,0
2025-09-22,S006,SKU_BAN04,27,1.06,0
2025-09-22,S006,SKU_CIT01,9,2.1,0
2025-09-22,S006,SKU_CIT02,5,2.01,0
