Date,ProductID,Category,StoreID,DayOfWeek,IsWeekend,Month,Week,DayOfMonth,Lag7_Sales,RollingMean7,HasPromotion,DiscountPct,Temperature,Rainfall,IsUnseasonablyWarm,CompetitorPriceIndex,PromoIntensity,ShelfLife,UnitPrice,Model,ForecastedDemand,SafetyStock,RecommendedOrder,LowerBound,UpperBound
2026-01-03 15:51:14.944567,SKU_BER01,Berries,ST001,5,1,1,1,3,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,28.19544296264648,4.229316444396972,33,29.7,36.300000000000004
2026-01-04 15:51:14.944599,SKU_BER01,Berries,ST001,6,1,1,1,4,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,28.097794914245604,4.214669237136841,33,29.7,36.300000000000004
2026-01-05 15:51:14.944600,SKU_BER01,Berries,ST001,0,0,1,2,5,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,22.569538116455078,3.3854307174682616,26,23.400000000000002,28.6
2026-01-06 15:51:14.944600,SKU_BER01,Berries,ST001,1,0,1,2,6,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,20.385166091918947,3.057774913787842,24,21.6,26.400000000000002
2026-01-07 15:51:14.944601,SKU_BER01,Berries,ST001,2,0,1,2,7,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,20.385166091918947,3.057774913787842,24,21.6,26.400000000000002
2026-01-08 15:51:14.944601,SKU_BER01,Berries,ST001,3,0,1,2,8,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,20.157091064453127,3.023563659667969,24,21.6,26.400000000000002
2026-01-09 15:51:14.944602,SKU_BER01,Berries,ST001,4,0,1,2,9,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,22.01588249206543,3.3023823738098144,26,23.400000000000002,28.6
2026-01-10 15:51:14.944602,SKU_BER01,Berries,ST001,5,1,1,2,10,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,28.358212375640868,4.25373185634613,33,29.7,36.300000000000004
2026-01-11 15:51:14.944602,SKU_BER01,Berries,ST001,6,1,1,2,11,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,29.180148887634275,4.377022333145141,34,30.6,37.400000000000006
2026-01-12 15:51:14.944603,SKU_BER01,Berries,ST001,0,0,1,3,12,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,23.46744728088379,3.520117092132568,27,24.3,29.700000000000003
2026-01-13 15:51:14.944603,SKU_BER01,Berries,ST001,1,0,1,3,13,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,21.21124252319336,3.1816863784790037,25,22.5,27.500000000000004
2026-01-14 15:51:14.944604,SKU_BER01,Berries,ST001,2,0,1,3,14,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,21.21124252319336,3.1816863784790037,25,22.5,27.500000000000004
2026-01-15 15:51:14.944604,SKU_BER01,Berries,ST001,3,0,1,3,15,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,20.990279541015624,3.1485419311523435,25,22.5,27.500000000000004
2026-01-16 15:51:14.944605,SKU_BER01,Berries,ST001,4,0,1,3,16,100,100,0,0,15,2,0,1.0,0,5,2.555269907953647,XGBoost,22.815521240234375,3.422328186035156,27,24.3,29.700000000000003
2026-01-03 15:51:14.944567,SKU_BER02,Berries,ST001,5,1,1,1,3,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,28.19544296264648,4.229316444396972,33,29.7,36.300000000000004
2026-01-04 15:51:14.944599,SKU_BER02,Berries,ST001,6,1,1,1,4,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,28.097794914245604,4.214669237136841,33,29.7,36.300000000000004
2026-01-05 15:51:14.944600,SKU_BER02,Berries,ST001,0,0,1,2,5,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,22.569538116455078,3.3854307174682616,26,23.400000000000002,28.6
2026-01-06 15:51:14.944600,SKU_BER02,Berries,ST001,1,0,1,2,6,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,20.385166091918947,3.057774913787842,24,21.6,26.400000000000002
2026-01-07 15:51:14.944601,SKU_BER02,Berries,ST001,2,0,1,2,7,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,20.385166091918947,3.057774913787842,24,21.6,26.400000000000002
2026-01-08 15:51:14.944601,SKU_BER02,Berries,ST001,3,0,1,2,8,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,20.157091064453127,3.023563659667969,24,21.6,26.400000000000002
2026-01-09 15:51:14.944602,SKU_BER02,Berries,ST001,4,0,1,2,9,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,22.01588249206543,3.3023823738098144,26,23.400000000000002,28.6
2026-01-10 15:51:14.944602,SKU_BER02,Berries,ST001,5,1,1,2,10,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,28.358212375640868,4.25373185634613,33,29.7,36.300000000000004
2026-01-11 15:51:14.944602,SKU_BER02,Berries,ST001,6,1,1,2,11,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,29.180148887634275,4.377022333145141,34,30.6,37.400000000000006
2026-01-12 15:51:14.944603,SKU_BER02,Berries,ST001,0,0,1,3,12,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,23.46744728088379,3.520117092132568,27,24.3,29.700000000000003
2026-01-13 15:51:14.944603,SKU_BER02,Berries,ST001,1,0,1,3,13,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,21.21124252319336,3.1816863784790037,25,22.5,27.500000000000004
2026-01-14 15:51:14.944604,SKU_BER02,Berries,ST001,2,0,1,3,14,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,21.21124252319336,3.1816863784790037,25,22.5,27.500000000000004
2026-01-15 15:51:14.944604,SKU_BER02,Berries,ST001,3,0,1,3,15,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,20.990279541015624,3.1485419311523435,25,22.5,27.500000000000004
2026-01-16 15:51:14.944605,SKU_BER02,Berries,ST001,4,0,1,3,16,100,100,0,0,15,2,0,1.0,0,5,2.386611470453434,XGBoost,22.815521240234375,3.422328186035156,27,24.3,29.700000000000003
2026-01-03 15:51:14.944567,SKU_BER03,Berries,ST001,5,1,1,1,3,100,100,0,0,15,2,0,1.0,0,5,2.360316556334566,XGBoost,28.19544296264648,4.229316444396972,33,29.7,36.300000000000004
2026-01-04 15:51:14.944599,SKU_BER03,Berries,ST001,6,1,1,1,4,100,100,0,0,15,2,0,1.0,0,5,2.360316556334566,XGBoost,28.097794914245604,4.214669237136841,33,29.7,36.300000000000004
2026-01-05 15:51:14.944600,SKU_BER03,Berries,ST001,0,0,1,2,5,100,100,0,0,15,2,0,1.0,0,5,2.360316556334566,XGBoost,22.569538116455078,3.3854307174682616,26,23.400000000000002,28.6
2026-01-06 15:51:14.944600,SKU_BER03,Berries,ST001,1,0,1,2,6,100,100,0,0,15,2,0,1.0,0,5,2.360316556334566,XGBoost,20.385166091918947,3.057774913787842,24,21.6,26.400000000000002
